禁止,制限,準制限,無制限,無制限(新録)
,,,灼熱の槍,
,,,突風の扇,
,,,未熟な密偵,
,,,援軍,
,,,城壁,
,,,血の代償,
,,,古代の遠眼鏡,
,,,ホワイト・ホール,
,,,墓場からの呼び声,
,,,避雷針,
,,,死者への手向け,
,,,魂の解放,
,,,陽気な葬儀屋,
,,,闇からの呼び声,
,,,神の宣告,
,,,マジック・ジャマー,
,,,盗賊の七つ道具,
,,,昇天の角笛,
,,,自業自得,
,,,王宮のお触れ,
,,,魔女狩り,
,,,悪魔払い,
,,,魔力の棘,
,,,革命,
,,,融合賢者,
,,,執念の剣,
,,,『攻撃』封じ,
,,,薄幸の美少女,
,,,追い剥ぎゴブリン,
,,,細菌感染,
,,,しびれ薬,
,,,厳格な老魔術師,
,,,幻影の壁,
,,,魔法剣士ネオ,
,,,邪剣男爵,
,,,人喰い宝石箱,
,,,デス・ソーサラー,
,,,遺言状,
,,,和睦の使者,
,,,磁力の指輪,
,,,痛み分け,
,,,ドーピング,
,,,グリフォンの翼,
