カード名,登場期
剣闘獣ダリウス,5
暗黒ヴェロキ,5
超古深海王シーラカンス,5
メガキャノン・ソルジャー,5
ザ・カリキュレーター,5
コアラッコ,5
ブルーサンダーT４５,5
電磁蚊,5
N・ティンクル・モス,5
E・HERO ストーム・ネオス,5
レインボー・ネオス,5
レインボー・ヴェール,5
超融合,5
ヴィシャス・クロー,5
インスタント・ネオスペース,5
蜃気楼の筒,5
マジック・クロニクル,5
次元誘爆,5
サイバネティック・ゾーン,5
終わりの始まり,5
ダーク・バースト,5
終焉の焔,5
フォース・リリース,5
サモンチェーン,5
アシッドレイン,5
六武衆の結束,5
剣闘獣の闘器デーモンズシールド,5
剣闘訓練所,5
暗黒界の書物,5
虹の行方,5
レインボー・ライフ,5
デモンバルサム・シード,5
ヘイト・バスター,5
チェーン・マテリアル,5
アルケミー・サイクル,5
サイバネティック・ヒドゥン・テクノロジー,5
闇霊術－「欲」,5
闇の幻影,5
闇次元の解放,5
二重の落とし穴,5
強烈なはたき落とし,5
召喚制限－猛突するモンスター,5
ハンディキャップマッチ！,5
毒蛇の供物,5
決戦の火蓋,5
転生断絶,5
罰則金,5
剣闘獣オクタビウス,5
剣闘獣トラケス,5
スレイブタイガー,5
ディフェンシブ・タクティクス,5
ドラゴン・アイス,5
タン・ツイスター,5
スクリーチ,5
炎帝近衛兵,5
漆黒のトバリ,5
セキュリティー・ボール,5
ファイヤー・トルーパー,5
E・HERO プリズマー,5
カードエクスクルーダー,5
アームズ・ホール,5
アサルト・アーマー,5
イービル・ブラスト,5
軍神ガープ,5
邪帝ガイウス,5
次元合成師,5
カイザー・サクリファイス,5
D・D・R,5
エンペラー・オーダー,5
邪龍アナンタ,5
レッドアイズ・ダークネスメタルドラゴン,5
地球巨人 ガイア・プレート,5
竜脚獣ブラキオン,5
光神テテュス,5
ダーク・グレファー,5
堕天使ゼラート,5
ダーク・パーシアス,5
深海の大ウナギ,5
メタボ・サッカー,5
光鱗のトビウオ,5
マテリアルドラゴン,5
ローンファイア・ブロッサム,5
ジャイアントワーム,5
闇の誘惑,5
アテナ,5
ヘカテリス,5
神の居城－ヴァルハラ,5
オネスト,5
クロス・ポーター,5
ミラクル・フリッパー,5
D-HERO ドレッドサーヴァント,5
ヴォルカニック・クイーン,5
人造人間－サイコ・リターナー,5
人造人間－サイコ・ロード,5
アルカナフォース０－THE FOOL,5
アルカナフォースⅠ－THE MAGICIAN,5
アルカナフォースⅢ－THE EMPRESS,5
アルカナフォースⅣ－THE EMPEROR,5
アルカナフォースⅥ－THE LOVERS,5
アルカナフォースⅦ－THE CHARIOT,5
アルカナフォースⅩⅣ－TEMPERANCE,5
アルカナフォースⅩⅧ－THE MOON,5
アルカナフォースⅩⅩⅠ－THE WORLD,5
アルカナフォースEX－THE DARK RULER,5
ライトロード・パラディン ジェイン,5
ライトロード・マジシャン ライラ,5
ライトロード・ウォリアー ガロス,5
ライトロード・サモナー ルミナス,5
ライトロード・ハンター ライコウ,5
ライトロード・ビースト ウォルフ,5
ライトロード・エンジェル ケルビム,5
ライトロード・ドラゴン グラゴニス,5
裁きの龍,5
ダーク・ヴァルキリア,5
イレカエル,5
貫ガエル,5
充電池メン,5
電池メン－業務用,5
電池メン－ボタン型,5
ゴブリン偵察部隊,5
惑星からの物体A,5
ディスクライダー,5
黄金の天道虫,5
ダッカー,5
ワイト夫人,5
始祖神鳥シムルグ,5
雲魔物－ストーム・ドラゴン,5
ファントム・ドラゴン,5
Dragoon D-END,5
古代の機械究極巨人,5
剣闘獣ガイザレス,5
ヒーロー・マスク,5
スペーシア・ギフト,5
終焉の地,5
D－フォーメーション,5
魔法の歯車,5
カップ・オブ・エース,5
光の結界,5
ソーラー・エクスチェンジ,5
ジャスティス・ワールド,5
湿地草原,5
急速充電器,5
漏電,5
救援光,5
閃光の宝札,5
能力調整,5
デッキロック,5
リボーンリボン,5
黄金色の竹光,5
リミット・リバース,5
ヒーロー・ブラスト,5
虹の引力,5
D－フォーチュン,5
逆転する運命,5
死神の巡遊,5
アルカナコール,5
ライト・リサイレンス,5
閃光のイリュージョン,5
デストラクション・ジャマー,5
フロッグ・バリア,5
携帯型バッテリー,5
グラディアル・チェンジ,5
アグレッシブ・クラウディアン,5
血の沼地,5
ラッキー・チャンス！,5
サモンリミッター,5
ダイスインパクト,5
エンペラー・ストゥム,5
光帝クライス,5
ダーク・シムルグ,5
獣神機王バルバロスUr,5
オベリスクの巨神兵,6
ラーの翼神竜,6
酒呑童子,6
ダークエンド・ドラゴン,6
ライトエンド・ドラゴン,6
氷の女王,6
ハネクリボー LV９,6
ゲイシャドウ,6
ハネワタ,6
素早いムササビ,6
オイスターマイスター,6
闇霊使いダルク,6
ギガント・セファロタス,6
ウィード,6
ヘル・ブランブル,6
ツクシー,6
カースド・フィグ,6
増草剤,6
オーバースペック,6
朱光の宣告者,6
神光の宣告者,6
ツインバレル・ドラゴン,6
伊弉凪,6
伊弉波,6
巨大戦艦 ビッグ・コアMk－Ⅱ,6
ロード・ウォリアー,6
草薙剣,6
八尺勾玉,6
八汰鏡,6
歯車街,6
チューン・ウォリアー,6
ウォーター・スピリット,6
ロードランナー,6
ジャンク・シンクロン,6
スピード・ウォリアー,6
炎龍,6
マジカルフィシアリスト,6
シンクロ・ヒーロー,6
精神同調波,6
コモンメンタルワールド,6
くず鉄のかかし,6
ミニチュアライズ,6
ジャンク・ウォリアー,6
大地の騎士ガイアナイト,6
ギガンテック・ファイター,6
ワンショット・ブースター,6
ニトロ・シンクロン,6
ボルト・ヘッジホッグ,6
デッド・ガードナー,6
シールド・ウォリアー,6
スモール・ピース・ゴーレム,6
ミッド・ピース・ゴーレム,6
ビッグ・ピース・ゴーレム,6
ダーク・スプロケッター,6
ダーク・リゾネーター,6
ダブル・プロテクター,6
ジュッテ・ナイト,6
手錠龍,6
モンタージュ・ドラゴン,6
ゴロゴル,6
メンタルマスター,6
カバリスト,6
クレボンス,6
メンタルプロテクター,6
サイコ・コマンダー,6
サイコ・ウォールド,6
テレキアタッカー,6
ディストラクター,6
剣闘獣エクイテ,6
ライトロード・プリースト ジェニス,6
メカウサー,6
くノ一ウォリアー,6
ファラオの化身,6
ダーク・アサシン,6
金華猫,6
大和神,6
寂々虫,6
騒々虫,6
マルチ・ピース・ゴーレム,6
ニトロ・ウォリアー,6
スターダスト・ドラゴン,6
レッド・デーモンズ・ドラゴン,6
ゴヨウ・ガーディアン,6
マジカル・アンドロイド,6
メンタルスフィア・デーモン,6
ファイティング・スピリッツ,6
ドミノ,6
ジャンク・アタック,6
イージーチューニング,6
シンクロキャンセル,6
ライトニング・チューン,6
サイキックブレイク,6
サイキック・インパルス,6
緊急テレポート,6
ライトロード・レイピア,6
進化する人類,6
バッテリーリサイクル,6
皆既日蝕の書,6
イクイップ・シュート,6
エンジェル・リフト,6
ガード・ブロック,6
悲劇の引き金,6
スターゲート,6
シンクロン・リフレクト,6
ブロークン・ブロッカー,6
神機王ウル,6
念導力,6
ブローニング・パワー,6
剣闘獣の戦車,6
ライトロード・バリア,6
インターセプト,6
雷の裁き,6
サイコ・ヒーリング,6
フィッシャーチャージ,6
針虫の巣窟,6
神禽王アレクトール,6
召喚制限－パワーフィルター,6
魔知ガエル,6
サイコ・チャージ,6
ガーディアン・オブ・オーダー,6
ライトロード・ドルイド オルクス,6
ライトロード・モンク エイリン,6
ダーク・ジェネラル フリード,6
マジカル・コンダクター,6
邪狂神の使い,6
炎の魔精イグニス,6
超古代恐獣,6
ライト・バニッシュ,6
赤鬼,6
ネオス・ワイズマン,6
E・HERO ゴッド・ネオス,6
ジェネクス・コントローラー,6
ジェネクス・ウンディーネ,6
ジェネクス・パワー・プランナー,6
ジェネクス・サーチャー,6
ジェネクス・ワーカー,6
氷弾使いレイス,6
氷結界のロイヤル・ナイト,6
氷結界に住む魔酔虫,6
霞の谷の見張り番,6
ミスト・コンドル,6
霞の谷の風使い,6
フレムベル・パウン,6
フレムベル・アーチャー,6
フレムベル・デビル,6
X－セイバー アナペレラ,6
X－セイバー ガラハド,6
X－セイバー パロムロ,6
X－セイバー パシウル,6
A・ボム,6
A・O・J サウザンド・アームズ,6
A・O・J アンノウン・クラッシャー,6
ワーム・ファルコ,6
ワーム・グルス,6
ワーム・ホープ,6
ワーム・イリダン,6
ワーム・ジェートリクプス,6
ワーム・キング,6
ハイドロ・ジェネクス,6
X－セイバー ウェイン,6
A・O・J ライト・ゲイザー,6
カオスエンドマスター,6
混沌球体,6
ジェネクス・ニュートロン,6
A・O・J サイクロン・クリエイター,6
ロード・シンクロン,6
ゴブリン陽動部隊,6
ジェイドナイト,6
ラッコアラ,6
コアラッコアラ,6
マンモス・ゾンビ,6
デスカイザー・ドラゴン,6
ゾンビキャリア,6
伝説の白石,6
蘇りし魔王 ハ・デス,6
サイバー・シャーク,6
六武衆の露払い,6
真紅眼の不死竜,6
邪神機－獄炎,6
闇竜の黒騎士,6
アンデットワールド,6
王宮の鉄壁,6
神聖騎士パーシアス,6
メンタル・カウンセラー リリー,6
ウォールクリエイター,6
念動増幅装置,6
光の援軍,6
ヒール・ウェーバー,6
ターボ・シンクロン,6
マッド・デーモン,6
アイヴィ・ウォール,6
コピー・プラント,6
D・モバホン,6
D・マグネンU,6
D・チャッカン,6
D・ラジカッセン,6
D・キャメラン,6
D・ラジオン,6
D・クロックン,6
ガジェット・トレーラー,6
ガジェット・ドライバー,6
サーチ・ストライカー,6
チェイス・スカッド,6
C・リペアラー,6
C・スネーク,6
C・シューター,6
C・コイル,6
パワー・インジェクター,6
ストーム・サモナー,6
サイコジャンパー,6
ボタニティ・ガール,6
椿姫ティタニアル,6
魔轟神レイヴン,6
共闘するランドスターの剣士,6
タイガードラゴン,6
ターボ・ウォリアー,6
ブラック・ローズ・ドラゴン,6
C・ドラゴン,6
サイコ・ヘルストランサー,6
カード・フリッパー,6
偽りの種,6
薔薇の刻印,6
ブラック・ガーデン,6
百機夜工,6
D・スピードユニット,6
D・コード,6
D・パワーユニット,6
ポイズン・チェーン,6
パラライズ・チェーン,6
アポート,6
最古式念導,6
フレグランス・ストーム,6
世界樹,6
不死式冥界砲,6
魔法族の里,6
Ωメガネ,6
バトルマニア,6
コンフュージョン・チャフ,6
緊急同調,6
シンクロ・ストライク,6
プライドの咆哮,6
リバイバル・ギフト,6
破壊神の系譜,6
ドッペル・ゲイナー,6
ディフォーム,6
D・ゲイザー,6
サイコ・トリガー,6
ポリノシス,6
竹頭木屑,6
植物連鎖,6
王墓の罠,6
DNA定期健診,6
御前試合,6
大落とし穴,6
火車,6
平行世界融合,6
裏ガエル,6
ナチュル・ビートル,6
ナチュル・ロック,6
ナチュル・ガーディアン,6
ナチュル・ナーブ,6
ジェネクス・ヒート,6
ジェネクス・ガイア,6
スペア・ジェネクス,6
タービン・ジェネクス,6
ジェネクス・ドクター,6
ソーラー・ジェネクス,6
氷結界の大僧正,6
氷結界の交霊師,6
霞の谷の幼怪鳥,6
霞の谷の執行者,6
フレムベル・グルニカ,6
フレムベル・ベビー,6
A・マインド,6
A・O・J ブラインド・サッカー,6
A・O・J リサーチャー,6
A・O・J エネミー・キャッチャー,6
A・O・J サンダー・アーマー,6
A・O・J コズミック・クローザー,6
ワーム・リンクス,6
ワーム・ミリディス,6
ワーム・ノーブル,6
ナチュル・ビースト,6
氷結界の虎王 ドゥローレン,6
サーマル・ジェネクス,6
ジオ・ジェネクス,6
A・O・J フィールド・マーシャル,6
創世竜,6
星見獣ガリス,6
真紅眼の飛竜,6
ダークネス・デストロイヤー,6
白夜の女王,6
マッシブ・ウォリアー,6
チューニング・サポーター,6
アームズ・エイド,6
ギブ＆テイク,6
リミッター・ブレイク,6
シールド・ウィング,6
バイス・ドラゴン,6
"Tyr, the Vanquishing Warlord",6
"Lorelei, the Symphonic Arsenal",6
サモン・リアクター・AI,6
ジャイアント・ボマー・エアレイド,6
トラップ・リアクター・RR,6
ブラック・ボンバー,6
マジック・リアクター・AID,6
ローズ・テンタクルス,6
ターレット・ウォリアー,6
デブリ・ドラゴン,6
ハイパー・シンクロン,6
レッド・デーモンズ・ドラゴン／バスター,6
トラップ・イーター,6
ツイン・ブレイカー,6
ダーク・リペアラー,6
BF－疾風のゲイル,6
BF－黒槍のブラスト,6
BF－暁のシロッコ,6
夜薔薇の騎士,6
D・ボードン,6
D・パッチン,6
デスカイザー・ドラゴン／バスター,6
ハイパーサイコガンナー／バスター,6
アーカナイト・マジシャン／バスター,6
アーケイン・ファイロ,6
バスター・マーセナリ,6
バスター・ビースト,6
黒翼の魔術師,6
ライフ・コーディネイター,6
剣闘獣サムニテ,6
トマボー,6
スキヤナー,6
次元要塞兵器,6
砂漠の守護者,6
クロスソード・ハンター,6
ハチビー,6
トリプル・ヴァイパー,6
エーリアン・リベンジャー,6
エーリアンモナイト,6
ダーク・ダイブ・ボンバー,6
BF－アーマード・ウィング,6
ハイパーサイコガンナー,6
アーカナイト・マジシャン,6
宇宙砦ゴルガー,6
プリベント・スター,6
反目の従者,6
スター・ブラスト,6
フェザー・ウィンド・アタック,6
D・レトロエンジン,6
D・フィールド,6
バスター・バースト,6
バスター・テレポート,6
Re－BUSTER,6
サイコ・ソード,6
念動収集機,6
剣闘獣の底力,6
種子弾丸,6
超栄養太陽,6
六武ノ書,6
大樹海,6
魔法族の結界,6
トライアングル・エリア,6
バスター・モード,6
スピリット・フォース,6
ロスト・スター・ディセント,6
白銀のバリア－シルバーフォース－,6
ハーフorストップ,6
ナイトメア・デーモンズ,6
ブラック・アロー,6
アイヴィ・シャックル,6
フェイク・エクスプロージョン・ペンタ,6
D・バリア,6
ブレンD,6
バスター・スラッシュ,6
バスター・カウンター,6
サイコ・チューン,6
超能力治療,6
トロイの剣闘獣,6
棘の壁,6
惑星汚染ウイルス,6
ウィクトーリア,6
復讐の女戦士ローズ,6
シード・オブ・フレイム,6
サボウ・ファイター,6
マックス・テレポーター,6
RAI－JIN,6
RAI－MEI,6
剣闘獣レティアリィ,6
ナイトエンド・ソーサラー,6
マジックテンペスター,6
狡猾な落とし穴,6
超魔神イド,6
バイオレット・ウィッチ,6
トラゴエディア,6
エンシェント・フェアリー・ドラゴン,6
スターダスト・ドラゴン／バスター,6
魔轟神ルリー,6
魔轟神グリムロ,6
魔轟神ガルバス,6
魔轟神クシャノ,6
ジュラック・プロトプス,6
ジュラック・ヴェロー,6
ジュラック・モノロフ,6
ジュラック・ティラヌス,6
ナチュル・アントジョー,6
ナチュル・スパイダーファング,6
ナチュル・ローズウィップ,6
ナチュル・コスモスビート,6
ジェネクス・ブラスト,6
リサイクル・ジェネクス,6
アーミー・ジェネクス,6
氷結界の修験者,6
氷結界の風水師,6
霞の谷のファルコン,6
霞の谷の巨神鳥,6
A・O・J リバース・ブレイク,6
A・O・J アンリミッター,6
ワーム・オペラ,6
ワーム・プリンス,6
ワーム・クィーン,6
ワーム・ルクイエ,6
魔轟神ヴァルキュルス,6
ジュラック・ギガノト,6
ナチュル・ガオドレイク,6
ウィンドファーム・ジェネクス,6
霞の谷の雷神鬼,6
E・HERO ガイア,6
E・HERO アイスエッジ,6
E・HERO アブソルートZero,6
神聖魔導王 エンディミオン,6
聖なる解呪師,6
魔導騎士 ディフェンダー,6
魔法都市エンディミオン,6
魔力掌握,6
パワー・ツール・ドラゴン,6
ギガンテック・ファイター／バスター,6
ダーク・ボルテニス,6
マテリアルファルコ,6
ボーンクラッシャー,6
エーリアン・キッズ,6
ミンゲイドラゴン,6
竜宮の白タウナギ,6
未知ガエル,6
古代遺跡コードA,6
シンクロ・チェンジ,6
ロックストーン・ウォリアー,6
レベル・ウォリアー,6
ストロング・ウィンド・ドラゴン,6
ダーク・ヴァージャー,6
フェニキシアン・シード,6
フェニキシアン・クラスター・アマリリス,6
ガード・ヘッジ,6
イービル・ソーン,6
BF－極北のブリザード,6
BF－蒼炎のシュラ,6
BF－月影のカルート,6
BF－漆黒のエルフェン,6
D・リモコン,6
D・ビデオン,6
D・スコープン,6
ガジェット・アームズ,6
トラパート,6
地縛神 Aslla piscu,6
地縛神 Ccapac Apu,6
コアキメイル・ヴァラファール,6
コアキメイル・パワーハンド,6
コアキメイル・ガーディアン,6
コアキメイル・ドラゴ,6
コアキメイル・アイス,6
コアキメイル・デビル,6
ゴーレム,6
ミノケンサテュロス,6
強化人類サイコ,6
マスター・ジーグ,6
地獄からの使い,6
ギガストーン・オメガ,6
エーリアン・ドッグ,6
ニードル・ギルマン,6
深海のディーヴァ,6
シー・アーチャー,6
ラヴァ・ドラゴン,6
竜の尖兵,6
G・B・ハンター,6
エクスプロード・ウィング・ドラゴン,6
BF－アームズ・ウィング,6
トライデント・ドラギオン,6
神海竜ギシルノドン,6
ワン・フォー・ワン,6
トラスト・マインド,6
憎悪の棘,6
マジック・プランター,6
ワンダー・クローバー,6
アゲインスト・ウィンド,6
黒い旋風,6
ジャンクBOX,6
ダブルツールD＆C,6
D・リペアユニット,6
コアキメイルの鋼核,6
緊急鋼核処分,6
緊急合成,6
サイコパス,6
ナチュラル・チューン,6
至高の木の実,6
禁じられた聖杯,6
カーム・マジック,6
奇跡の軌跡,6
クリムゾン・ヘルフレア,6
チューナー・キャプチャー,6
オーバー・デッド・ライン,6
ウィキッド・リボーン,6
デルタ・クロウ－アンチ・リバース,6
レベル・リチューナー,6
フェイク・フェザー,6
トラップ・スタン,6
D・バインド,6
レクリスパワー,6
オートマチック・レーザー,6
窮鼠の進撃,6
無力の証明,6
ボーン・テンプル・ブロック,6
超古代生物の墓場,6
ツバメ返し,6
呪言の鏡,6
魔轟神ウルストス,6
魔轟神クルス,6
魔轟神トピー,6
魔轟神ソルキウス,6
魔轟神ミーズトージ,6
ジュラック・プティラ,6
ジュラック・イグアノン,6
ジュラック・ブラキス,6
ジュラック・スピノス,6
ナチュル・ドラゴンフライ,6
ナチュル・サンフラワー,6
ナチュル・クリフ,6
ナチュル・トライアンフ,6
レアル・ジェネクス・ターボ,6
レアル・ジェネクス・コーディネイター,6
レアル・ジェネクス・クラッシャー,6
レアル・ジェネクス・マグナ,6
氷結界の決起隊,6
氷結界の武士,6
氷結界の水影,6
氷結界の輸送部隊,6
ワーム・ソリッド,6
ワーム・テンタクルス,6
ワーム・アグリィ,6
ワーム・ヴィクトリー,6
魔轟神レヴュアタン,6
ジュラック・ヴェルヒプト,6
ナチュル・パルキオン,6
レアル・ジェネクス・クロキシアン,6
氷結界の龍 グングニール,6
スノーマンイーター,6
おジャマ・レッド,6
おジャマ・ブルー,6
おジャマ・カントリー,6
柴戦士タロ,6
スピード・キング☆スカル・フレイム,6
スカル・フレイム,6
バーニング・スカルヘッド,6
スカル・コンダクター,6
インフェルニティ・デーモン,6
インフェルニティ・ドワーフ,6
インフェルニティ・ガーディアン,6
インフェルニティ・デストロイヤー,6
コート・オブ・ジャスティス,6
パワード・チューナー,6
弱者の意地,6
ガトムズの緊急指令,6
大天使クリスティア,6
堕天使アスモディウス,6
堕天使スペルビア,6
堕天使エデ・アーラエ,6
クリボン,6
サニー・ピクシー,6
サンライト・ユニコーン,6
BF－銀盾のミストラル,6
BF－大旆のヴァーユ,6
BF－鉄鎖のフェーン,6
D・マグネンI,6
ジェスター・ロード,6
ジェスター・コンフィ,6
フォーチュンレディ・ライティー,6
フォーチュンレディ・ファイリー,6
インフェルニティ・ビースト,6
ダークシー・レスキュー,6
ダークシー・フロート,6
ワンショット・ロケット,6
地縛神 Cusillu,6
地縛神 Chacu Challhua,6
コアキメイル・ロック,6
コアキメイル・クルセイダー,6
コアキメイル・スピード,6
コアキメイル・トルネード,6
コアキメイル・フルバリア,6
スケイルモース,6
黒光りするG,6
アームズ・シーハンター,6
神竜アクアバザル,6
フィッシュボーグ－ガンナー,6
シャーク・ザ・クルー,6
アーマード・サイキッカー,6
ジェネティック・ウーマン,6
マジキャット,6
サイボーグドクター,6
ホワイトポータン,6
マインフィールド,6
XX－セイバー フォルトロール,6
XX－セイバー レイジグラ,6
フレムベル・ヘルドッグ,6
エンシェント・クリムゾン・エイプ,6
ファルシオンβ,6
ワンショット・キャノン,6
アンデット・スカル・デーモン,6
エンシェント・ホーリー・ワイバーン,6
XX－セイバー ガトムズ,6
拘束解放波,6
白銀の翼,6
アドバンスドロー,6
古の森,6
救急救命,6
スピリット・バーナー,6
フューチャー・ヴィジョン,6
コア濃度圧縮,6
コアバスター,6
一族の結束,6
ハイドロプレッシャーカノン,6
ウォーターハザード,6
脳開発研究所,6
セイバー・スラッシュ,6
剣の煌き,6
真炎の爆発,6
エンシェント・リーフ,6
化石調査,6
スキル・サクセサー,6
トゥルース・リインフォース,6
ガリトラップ－ピクシーの輪－,6
妖精の風,6
宮廷のしきたり,6
不協和音,6
フォーチュン・スリップ,6
デプス・アミュレット,6
ダメージ・トランスレーション,6
バトル・テレポーテーション,6
コアの再練成,6
鋼核の輝き,6
異種闘争,6
海竜神の加護,6
サイコ・ソウル,6
フレムベルカウンター,6
身剣一体,6
大番狂わせ,6
ブラッドストーム,6
コアキメイル・ウォーアームズ,6
イモータル・ルーラー,6
ハードアームドラゴン,6
モジャ,6
ビーストライカー,6
キング・オブ・ビースト,6
スワローズ・ネスト,6
オーバーウェルム,6
バーサーキング,6
堕天使ディザイア,6
ドラグニティ－ドゥクス,6
ドラグニティ－レギオン,6
ドラグニティ－トリブル,6
ドラグニティ－ブラックスピア,6
ドラグニティ－ファランクス,6
魔轟神ディフ,6
魔轟神アシェンヴェイル,6
魔轟神オルトロ,6
ジュラック・タイタン,6
ジュラック・グアイバ,6
ジュラック・スタウリコ,6
ナチュル・ホーストニードル,6
ナチュル・フライトフライ,6
ナチュル・ハイドランジー,6
レアル・ジェネクス・アクセラレーター,6
レアル・ジェネクス・オラクル,6
レアル・ジェネクス・ウルティマム,6
氷結界の封魔団,6
氷結界の虎将 グルナード,6
A・O・J リーサル・ウェポン,6
A・O・J D.D.チェッカー,6
A・O・J サイクルリーダー,6
ワーム・ウォーロード,6
ワーム・ゼクス,6
ワーム・ヤガン,6
ワーム・ゼロ,6
ドラグニティナイト－ゲイボルグ,6
魔轟神レイジオン,6
レアル・ジェネクス・ヴィンディカイト,6
A・O・J ディサイシブ・アームズ,6
ランス・リンドブルム,6
ゴーレム・ドラゴン,6
サイバー・ラーバァ,6
ドラゴニック・タクティクス,6
ドラグニティナイト－ガジャルグ,6
サイバー・エルタニン,6
フェニックス・ギア・フリード,6
エヴォルテクター シュバリエ,6
フェデライザー,6
デュアル・ソルジャー,6
スーペルヴィス,6
救世竜 セイヴァー・ドラゴン,6
スターダスト・シャオロン,6
マックス・ウォリアー,6
クイック・シンクロン,6
レベル・スティーラー,6
ゼロ・ガードナー,6
レグルス,6
インフェルニティ・ネクロマンサー,6
フォーチュンレディ・ウインディー,6
フォーチュンレディ・ウォーテリー,6
フォーチュンレディ・ダルキー,6
フォーチュンレディ・アーシー,6
ソリテア・マジカル,6
カトブレパスと運命の魔女,6
ダーク・スパイダー,6
グランド・スパイダー,6
サクリファイス・スパイダー,6
スパイダー・スパイダー,6
マザー・スパイダー,6
レプティレス・ゴルゴーン,6
レプティレス・メデューサ,6
レプティレス・スキュラ,6
レプティレス・バイパー,6
地縛神 Ccarayhua,6
地縛神 Uru,6
地縛神 Wiraqocha Rasca,6
コアキメイル・シーパンサー,6
コアキメイル・ルークロード,6
チューンド・マジシャン,6
クルセイダー・オブ・エンディミオン,6
樹海の射手,6
紅蓮魔闘士,6
エナジー・ブレイブ,6
鬼ガエル,6
ロードブリティッシュ,6
オシャレオン,6
儀式魔人リリーサー,6
儀式魔人プレサイダー,6
救世の美神ノースウェムコ,6
セイヴァー・スター・ドラゴン,6
BF－孤高のシルバー・ウィンド,6
レプティレス・ラミア,6
ブラック・ブルドラゴ,6
エクスプローシブ・マジシャン,6
スパイダー・ウェブ,6
地縛旋風,6
サベージ・コロシアム,6
アタック・フェロモン,6
モルティング・エスケープ,6
レプティレス・スポーン,6
フォーチュンフューチャー,6
タイムパッセージ,6
鋼核収納,6
金剛真力,6
デュアルスパーク,6
救世の儀式,6
儀式の準備,6
強欲なウツボ,6
神聖なる森,6
狂植物の氾濫,6
無視加護,6
悪魔への貢物,6
スリップ・サモン,6
シンクロ・バリアー,6
未来王の予言,6
運命湾曲,6
フォーチュン・インハーリット,6
スパイダー・エッグ,6
無抵抗の真相,6
地縛波,6
地縛神の咆哮,6
極限への衝動,6
インフェルニティ・フォース,6
能力吸収コア,6
ヴィクティム・カウンター,6
デュアル・ブースター,6
リチュアルバスター,6
デビリアン・ソング,6
破邪の刻印,6
紅蓮の指名者,6
コアキメイル・ベルグザーク,6
ウォーム・ワーム,6
ワーム・ベイト,6
リグレット・リボーン,6
シールド・ワーム,6
XX－セイバー ガルドストライク,6
XX－セイバー フラムナイト,6
コアキメイル・グールズスレイブ,6
コアキメイル・グラヴィローズ,6
サイコ・エンペラー,6
カードガード,6
フレムベル・デスガンナー,6
擬似空間,6
グリード・グラード,6
早すぎた復活,6
オレイカルコス・シュノロス,6
ガーディアン・エアトス,6
ダークネス・ネオスフィア,6
クリアー・バイス・ドラゴン,6
クリアー・ワールド,6
E・HERO フラッシュ,6
E・HERO The シャイニング,6
A・ジェネクス・ドゥルダーク,6
魔轟神獣ルビィラーダ,6
ドラグニティナイト－ヴァジュランダ,6
A・ジェネクス・リモート,6
A・ジェネクス・パワーコール,6
A・ジェネクス・チェンジャー,6
A・ジェネクス・ボルキャノン,6
A・ジェネクス・ソリッド,6
魔轟神獣チャワ,6
魔轟神獣キャシー,6
魔轟神獣ケルベラル,6
魔轟神獣ガナシア,6
魔轟神獣ノズチ,6
ドラグニティ－ミリトゥム,6
ドラグニティ－プリムス・ピルス,6
ドラグニティ－ブランディストック,6
ドラグニティ－ジャベリン,6
ジュラック・デイノ,6
ジュラック・ガリム,6
ジュラック・アウロ,6
ジュラック・ヘレラ,6
ナチュル・バタフライ,6
ナチュル・レディバグ,6
ナチュル・ストロベリー,6
氷結界の守護陣,6
氷結界の破術師,6
氷結界の神精霊,6
氷結界の虎将 ライホウ,6
A・ジェネクス・トライアーム,6
魔轟神獣ユニコール,6
ドラグニティナイト－トライデント,6
ジュラック・メテオ,6
ナチュル・ランドオルス,6
ガントレット・ウォリアー,6
エキセントリック・ボーイ,6
ジャンク・アーチャー,6
強制終了,6
チューナーズ・バリア,6
E・HERO Great TORNADO,6
コアキメイル・ビートル,6
コアキメイル・マキシマム,6
ライトロード・スピリット シャイア,6
ライトロード・シーフ ライニャン,6
森の狩人イエロー・バブーン,6
デュアル・スコーピオン,6
メタボ・シャーク,6
地縛神の復活,6
レプティレス・ポイズン,6
六武の門,6
地底のアラクネー,6
ワンハンドレッド・アイ・ドラゴン,6
猿魔王ゼーマン,6
ジャンク・コレクター,6
バックアップ・ウォリアー,6
奇跡の残照,6
スターライト・ロード,6
"Aggiba, the Malevolent Sh'nn S'yo",6
"Skuna, the Leonine Rakan",6
アンサイクラー,6
ヴィークラー,6
トライクラー,6
ドリル・シンクロン,6
血涙のオーガ,6
バトルフェーダー,6
パワー・サプライヤー,6
マジック・ホール・ゴーレム,6
パワー・インベーダー,6
ダーク・バグ,6
ソード・マスター,6
黒薔薇の魔女,6
薔薇の妖精,6
バッド・エンド・クイーン・ドラゴン,6
レプティレス・サーヴァント,6
レプティレス・ガードナー,6
レプティレス・ナージャ,6
レプティレス・ヴァースキ,6
太陽の神官,6
赤蟻アスカトル,6
泣き神の石像,6
アポカテクイル,6
スーパイ,6
インフォーマー・スパイダー,6
コアキメイル・ウルナイト,6
XX－セイバー ガルセム,6
墓守の大神官,6
墓守の末裔,6
ブラックポータン,6
シュレツダー,6
パンダボーグ,6
コダロス,6
聖なるあかり,6
軍荼利,6
サイバー・ドラゴン・ツヴァイ,6
オイルメン,6
