禁止,制限,準制限,無制限,初登場
,,,くちばしヘビ,光神テテュス
,,,ミューズの天使,ダーク・グレファー
,,,炎を食らう大亀,堕天使ゼラート
,,,バラに棲む悪霊,ダーク・パーシアス
,,,アブソリューター,深海の大ウナギ
,,,大食いグール,メタボ・サッカー
,,,ペイルビースト,光鱗のトビウオ
,,,リトル・キメラ,マテリアルドラゴン
,,,スコール,ローンファイア・ブロッサム
,,,ロックメイス,ジャイアントワーム
,,,テンダネス,闇の誘惑
,,,ペンギン・ソルジャー,アテナ
,,,フェアリー・ドラゴン,ヘカテリス
,,,イビル・ラット,神の居城－ヴァルハラ
,,,リクイド・ビースト,オネスト
,,,ツインテール,クロス・ポーター
,,,グレード・ビル,ミラクル・フリッパー
,,,フレンドシップ,D-HERO ドレッドサーヴァント
,,,ブレードフライ,ヴォルカニック・クイーン
,,,でんきトカゲ,人造人間－サイコ・リターナー
,,,悪魔の偵察者,人造人間－サイコ・ロード
,,,ハイ・プリーステス,アルカナフォース０－THE FOOL
,,,双頭の雷龍,アルカナフォースⅠ－THE MAGICIAN
,,,ハンター・スパイダー,アルカナフォースⅢ－THE EMPRESS
,,,アーマード・スターフィッシュ,アルカナフォースⅣ－THE EMPEROR
,,,勇気の砂時計,アルカナフォースⅥ－THE LOVERS
,,,マリン・ビースト,アルカナフォースⅦ－THE CHARIOT
,,,戦場の死装束,アルカナフォースⅩⅣ－TEMPERANCE
,,,岩石の精霊,アルカナフォースⅩⅧ－THE MOON
,,,スネーク・パーム,アルカナフォースⅩⅩⅠ－THE WORLD
,,,サキュバス・ナイト,アルカナフォースEX－THE DARK RULER
,,,セイレーン,ライトロード・パラディン ジェイン
,,,泥に潜み棲むもの,ライトロード・マジシャン ライラ
,,,満ち潮のマーマン,ライトロード・ウォリアー ガロス
,,,泉の妖精,ライトロード・サモナー ルミナス
,,,海原の女戦士,ライトロード・ハンター ライコウ
,,,キャット・レディ,ライトロード・ビースト ウォルフ
,,,見習い魔女,ライトロード・エンジェル ケルビム
,,,鎧ネズミ,ライトロード・ドラゴン グラゴニス
,,,古代のトカゲ戦士,裁きの龍
,,,月明かりの乙女,ダーク・ヴァルキリア
,,,ストーンジャイアント,イレカエル
,,,誕生の天使,貫ガエル
,,,ナイト・リザード,充電池メン
,,,女王の影武者,電池メン－業務用
,,,冠を戴く蒼き翼,電池メン－ボタン型
,,,トレント,ゴブリン偵察部隊
,,,紅葉の女王,惑星からの物体A
,,,水陸両用バグロス,ディスクライダー
,,,アシッドクロウラー,黄金の天道虫
,,,王座の侵略者,ダッカー
,,,イリュージョン・シープ,ワイト夫人
,,,ディスク・マジシャン,始祖神鳥シムルグ
,,,フレイム・ヴァイパー,雲魔物－ストーム・ドラゴン
,,,ロイヤルガード,ファントム・ドラゴン
,,,キラー・ブロッブ,Dragoon D-END
,,,ひょうすべ,古代の機械究極巨人
,,,マシン・アタッカー,剣闘獣ガイザレス
,,,響女,ヒーロー・マスク
,,,ウィップテイル・ガーゴイル,スペーシア・ギフト
,,,鎖付きブーメラン,終焉の地
,,,迷宮変化,D－フォーメーション
,,,戦士抹殺,魔法の歯車
,,,サラマンドラ,カップ・オブ・エース
,,,成仏,光の結界
,,,メタル化・魔法反射装甲,ソーラー・エクスチェンジ
,,,酸の嵐,ジャスティス・ワールド
,,,トゲトゲ神の殺虫剤,湿地草原
,,,神の息吹,急速充電器
,,,永遠の渇水,漏電
,,,シャイン・キャッスル,救援光
,,,闇の呪縛,閃光の宝札
,,,カオスの儀式,能力調整
,,,ゼラの儀式,デッキロック
,,,ライオンの儀式,リボーンリボン
,,,悪魔鏡の儀式,黄金色の竹光
,,,踊りによる誘発,リミット・リバース
,,,ハンバーガーのレシピ,ヒーロー・ブラスト
,,,ローの祈り,虹の引力
,,,粘着テープの家,D－フォーチュン
,,,ねずみ取り,逆転する運命
,,,硫酸のたまった落とし穴,死神の巡遊
,,,万能地雷グレイモヤ,アルカナコール
,,,天狗のうちわ,ライト・リサイレンス
,,,シモッチによる副作用,閃光のイリュージョン
,,,あまのじゃくの呪い,デストラクション・ジャマー
,,,偽物のわな,フロッグ・バリア
,,,亀の誓い,携帯型バッテリー
,,,チャクラの復活,グラディアル・チェンジ
,,,ジャベリンビートルの契約,アグレッシブ・クラウディアン
,,,ガルマソードの誓い,血の沼地
,,,スカルライダーの復活,ラッキー・チャンス！
,,,要塞クジラの誓い,サモンリミッター
,,,ダンシング・ソルジャー,ダイスインパクト
,,,ハングリーバーガー,エンペラー・ストゥム
,,,千年原人,光帝クライス
,,,ローガーディアン,ダーク・シムルグ
,,,トライホーン・ドラゴン,獣神機王バルバロスUr
,,,エビルナイト・ドラゴン,
,,,スカルビショップ,
,,,コスモクイーン,
,,,チャクラ,
,,,クラブ・タートル,
,,,クレセント・ドラゴン,
,,,メテオ・ドラゴン,
,,,メテオ・ブラック・ドラゴン,
,,,ファイヤー・ウイング・ペガサス,
,,,ガルマソード,
,,,ジャベリンビートル,
,,,要塞クジラ,
,,,スカルライダー,
,,,カオス－黒魔術の儀式,
,,,マジシャン・オブ・ブラックカオス,
,,,スロットマシーンAM－７,
,,,弓を引くマーメイド,
,,,ドラゴン・エッガー,
,,,トゥーン・ドラゴン・エッガー,
,,,トゥーン・マーメイド,
,,,トゥーン・デーモン,
,,,ダーク・アイズ・イリュージョニスト,
,,,サクリファイス,
,,,タイム・ボマー,
,,,千眼の邪教神,
,,,鉄腕ゴーレム,
,,,スフィア・ボム 球体時限爆弾,
,,,ダイヤモンド・ドラゴン,
,,,磁石の戦士α,
,,,暗黒の眠りを誘うルシファー,
,,,ロード・オブ・ドラゴン－ドラゴンの支配者－,
,,,レッドアイズ・ブラックメタルドラゴン,
,,,リボルバー・ドラゴン,
,,,ハンニバル・ネクロマンサー,
,,,漆黒の豹戦士パンサーウォリアー,
,,,三ツ首のギドー,
,,,幻獣王ガゼル,
,,,アステカの石像,
,,,バフォメット,
,,,有翼幻獣キマイラ,
,,,機動砦のギア・ゴーレム,
,,,人造人間－サイコ・ショッカー,
,,,ランドスターの剣士,
,,,サイバー・レイダー,
,,,魔導ギガサイバー,
,,,魔鏡導士リフレクト・バウンダー,
,,,磁石の戦士β,
,,,ビッグ・シールド・ガードナー,
,,,ブラック・マジシャン・ガール,
,,,ワイバーンの戦士,
,,,インセクト女王,
,,,寄生虫パラサイド,
,,,髑髏顔 天道虫,
,,,リトル・ウィンガード,
,,,代打バッター,
,,,ブルーアイズ・トゥーン・ドラゴン,
,,,ソードハンター,
,,,穿孔虫,
,,,深海の戦士,
,,,朱い靴,
,,,スパイク・ヘッド,
,,,サテライト・キャノン,
,,,異星の最終戦士,
,,,デュナミス・ヴァルキリア,
,,,ガーネシア・エレファンティス,
,,,絶対防御将軍,
,,,タルワール・デーモン,
,,,サイバティック・ワイバーン,
,,,磁石の戦士γ,
,,,時の機械－タイム・マシーン,
,,,ものマネ幻想師,
,,,トゥーン・ワールド,
,,,ゴーゴンの眼,
,,,イリュージョンの儀式,
,,,攻撃の無力化,
,,,増殖,
,,,７カード,
,,,光の封札剣,
,,,ドラゴンを呼ぶ笛,
,,,右手に盾を左手に剣を,
,,,連鎖破壊,
,,,催眠術,
,,,天使のサイコロ,
,,,悪魔のサイコロ,
,,,精神操作,
,,,電脳増幅器,
,,,断頭台の惨劇,
,,,精霊の鏡,
,,,エクトプラズマー,
,,,黒魔術のカーテン,
,,,虫除けバリアー,
,,,マジックアーム・シールド,
,,,落とし穴,
,,,融合,
,,,罠はずし,
,,,はさみ撃ち,
,,,ブルー・ポーション,
,,,雷鳴,
,,,魔法除去,
,,,墓掘りグール,
,,,灼熱の槍,
,,,突風の扇,
,,,未熟な密偵,
,,,援軍,
,,,城壁,
,,,古代の遠眼鏡,
,,,ホワイト・ホール,
,,,墓場からの呼び声,
,,,避雷針,
,,,死者への手向け,
,,,魂の解放,
,,,陽気な葬儀屋,
,,,闇からの呼び声,
,,,神の宣告,
,,,マジック・ジャマー,
,,,盗賊の七つ道具,
,,,昇天の角笛,
,,,自業自得,
,,,魔女狩り,
,,,悪魔払い,
,,,魔力の棘,
,,,革命,
,,,融合賢者,
,,,執念の剣,
,,,『攻撃』封じ,
,,,薄幸の美少女,
,,,追い剥ぎゴブリン,
,,,細菌感染,
,,,しびれ薬,
,,,厳格な老魔術師,
,,,幻影の壁,
,,,魔法剣士ネオ,
,,,邪剣男爵,
,,,人喰い宝石箱,
,,,デス・ソーサラー,
,,,和睦の使者,
,,,磁力の指輪,
,,,痛み分け,
,,,ドーピング,
,,,グリフォンの翼,
,,,墓守の使い魔,
,,,邪悪な儀式,
,,,成金ゴブリン,
,,,通行税,
,,,最終戦争,
,,,聖域の歌声,
,,,闇の訪れ,
,,,天使の手鏡,
,,,移り気な仕立屋,
,,,突進,
,,,頼もしき守護者,
,,,魔力の枷,
,,,毒蛇の牙,
,,,光の追放者,
,,,巨大ネズミ,
,,,センジュ・ゴッド,
,,,UFOタートル,
,,,秒殺の暗殺者,
,,,カラテマン,
,,,ダークゼブラ,
,,,ジャイアントウィルス,
,,,素早いモモンガ,
,,,ダークファミリア,
,,,シャインエンジェル,
,,,ボアソルジャー,
,,,グリズリーマザー,
,,,ドラゴンフライ,
,,,セレモニーベル,
,,,ソニックバード,
,,,キラー・トマト,
,,,コトダマ,
,,,ガイアパワー,
,,,ウォーターワールド,
,,,バーニングブラッド,
,,,デザートストーム,
,,,シャインスパーク,
,,,ダークゾーン,
,,,平和の使者,
,,,道連れ,
,,,突風,
,,,猛吹雪,
,,,ガラスの鎧,
,,,世界の平定,
,,,魔法探査の石版,
,,,金属探知器,
,,,白衣の天使,
,,,便乗,
,,,強制接収,
,,,ゴブリンの小役人,
,,,ギャンブル,
,,,DNA改造手術,
,,,一族の掟,
,,,補充要員,
,,,白兵戦,
,,,大騒動,
,,,聖なる輝き,
,,,正々堂々,
,,,死霊の誘い,
,,,マジカルシルクハット,
,,,撲滅の使徒,
,,,浅すぎた墓穴,
,,,検閲,
,,,禁止令,
,,,カオスポッド,
,,,デスハムスター,
,,,フレイムキラー,
,,,ビッグバンドラゴン,
,,,バーニングソルジャー,
,,,ミスターボルケーノ,
,,,炎の剣豪,
,,,精神寄生体,
,,,メカファルコン,
,,,ダークバット,
,,,フライングマンティス,
,,,バードマン,
,,,鬼タンクT－３４,
,,,ガトリングバギー,
,,,バスター・ブレイダー,
,,,墓荒らし,
,,,ホーリー・エルフの祝福,
,,,真実の眼,
,,,砂塵の大竜巻,
,,,ソロモンの律法書,
,,,地殻変動,
,,,ホーリージャベリン,
,,,銀幕の鏡壁,
,,,イタクァの暴風,
,,,磁石の戦士マグネット・バルキリオン,
,,,ドラゴンに乗るワイバーン,
,,,ブラッド・ヴォルス,
,,,アクアの合唱,
,,,セベクの祝福,
,,,魔封じの芳香,
,,,フォース,
,,,竜殺しの剣,
,,,旧神の印,
,,,太陽の戦士,
,,,王虎ワンフー,
,,,コマンド・ナイト,
,,,ベイオウルフ,
,,,魔導紳士－J,
,,,ノーブル・ド・ノワール,
,,,バード・フェイス,
,,,クルーエル,
,,,天空騎士パーシアス,
,,,妖精王オベロン,
,,,ナーガ,
,,,海神の巫女,
,,,機械軍曹,
,,,雷電娘々,
,,,溶岩大巨人,
,,,お注射天使リリー,
,,,リーフ・フェアリー,
,,,アーマード・フライ,
,,,サイファー・スカウター,
,,,X・E・N・O,
,,,魂喰らい,
,,,ニュート,
,,,シェイプ・スナッチ,
,,,電磁ミノ虫,
,,,タイム・イーター,
,,,グラッジ,
,,,異形の従者,
,,,リグラス・リーパー,
,,,モイスチャー星人,
,,,ボーンハイマー,
,,,フレイムダンサー,
,,,ソニックジャマー,
,,,鉄の騎士 ギア・フリード,
,,,ヒューマノイド・スライム,
,,,ワームドレイク,
,,,ヒューマノイド・ドレイク,
,,,リバイバルスライム,
,,,フライング・フィッシュ,
,,,半魚獣・フィッシャービースト,
,,,ロケット戦士,
,,,伝説のフィッシャーマン,
,,,レアメタル・レディ,
,,,レアメタル・ソルジャー,
,,,雷ウナギ,
,,,スフィラスレディ,
,,,シャイン・アビス,
,,,暗黒魔族ギルファー・デーモン,
,,,ガジェット・ソルジャー,
,,,仮面呪術師カースド・ギュラ,
,,,仮面魔獣マスクド・ヘルレイザー,
,,,メルキド四面獣,
,,,女邪神ヌヴィア,
,,,仮面魔獣デス・ガーディウス,
,,,遺言の仮面,
,,,クロス・ソウル,
,,,選ばれし者,
,,,弱体化の仮面,
,,,仮面魔獣の儀式,
,,,魔力無力化の仮面,
,,,生贄封じの仮面,
,,,呪魂の仮面,
,,,凶暴化の仮面,
,,,死者の生還,
,,,稲妻の剣,
,,,竜巻海流壁,
,,,メサイアの蟻地獄,
,,,モンスターBOX,
,,,アリの増殖,
,,,融合解除,
,,,スライム増殖炉,
,,,悪夢の鉄檻,
,,,無限の手札,
,,,ディフェンド・スライム,
,,,生還の宝札,
,,,神の恵み,
,,,燃えさかる大地,
,,,大寒波,
,,,メテオ・ストライク,
,,,シフトチェンジ,
,,,孵化,
,,,ワーム・ホール,
,,,マジック・ドレイン,
,,,誘惑のシャドウ,
,,,ギロチン・クワガタ,
,,,隼の騎士,
,,,爆弾かめ虫,
,,,死の４つ星てんとう虫,
,,,超時空戦闘機ビック・バイパー,
,,,ヴァンパイア・ベビー,
,,,猛進する剣角獣,
,,,海賊船スカルブラッド号,
,,,隻眼のホワイトタイガー,
,,,ゴブリン突撃部隊,
,,,島亀,
,,,翼を織りなす者,
,,,科学特殊兵,
,,,怨念集合体,
,,,死神ブーメラン,
,,,恵みの雨,
,,,モンスター回収,
,,,零式魔導粉砕機,
,,,カオス・シールド,
,,,強制転移,
,,,エレメントの泉,
,,,千本ナイフ,
,,,死のマジック・ボックス,
,,,地盤沈下,
,,,女豹の傭兵,
,,,味方殺しの女騎士,
,,,アマゾネスの射手,
,,,紅蓮の女守護兵,
,,,ビッグバンガール,
,,,炎の女暗殺者,
,,,ファイヤーソーサラー,
,,,そよ風の精霊,
,,,踊る妖精,
,,,ピクシーガーディアン,
,,,女帝カマキリ,
,,,プリンセス人魚,
,,,ヒステリック天使,
,,,バイオ僧侶,
,,,慈悲深き修道女,
,,,聖女ジャンヌ,
,,,堕天使マリー,
,,,強欲な瓶,
,,,幻惑の巻物,
,,,死者への供物,
,,,デス・メテオ,
,,,ライトニング・ボルテックス,
,,,エクスチェンジ,
,,,絵画に潜む者,
,,,夢魔の亡霊,
,,,首なし騎士,
,,,ダーク・ネクロフィア,
,,,魔術の呪文書,
,,,ウィジャ盤,
,,,暗黒の扉,
,,,地縛霊,
,,,沈黙の邪悪霊,
,,,死霊伯爵,
,,,黒衣の大賢者,
,,,アヌビスの裁き,
,,,アポピスの化神,
,,,魔霧雨,
,,,マジック・ランプ,
,,,ハーピィ・レディ・SB,
,,,聖獣セルケト,
,,,疾風の暗黒騎士ガイア,
,,,翻弄するエルフの剣士,
,,,ダーク・ヒーロー ゾンバイア,
,,,ポルターガイスト,
,,,昇霊術師 ジョウゲン,
,,,霊滅術師 カイクウ,
,,,幻想召喚師,
,,,魂を喰らう者 バズー,
,,,神聖なる魂,
,,,炎の精霊 イフリート,
,,,水の精霊 アクエリア,
,,,岩の精霊 タイタン,
,,,風の精霊 ガルーダ,
,,,俊足のギラザウルス,
,,,トルネード・バード,
,,,幻影の妖精,
,,,物資調達員,
,,,魔力吸収球体,
,,,力の集約,
,,,王宮の号令,
,,,フォースフィールド,
,,,死霊の巣,
,,,墓荒らしの報い,
,,,守護霊のお守り,
,,,カウンターパンチ,
,,,無差別破壊,
,,,裸の王様,
,,,サイクロンレーザー,
,,,死のメッセージ「E」,
,,,死のメッセージ「A」,
,,,死のメッセージ「T」,
,,,死のメッセージ「H」,
,,,おとり人形,
,,,フュージョン・ゲート,
,,,疫病ウィルス ブラックダスト,
,,,奇跡の発掘,
,,,竜魂の力,
,,,霊魂消滅,
,,,怨霊の湿地帯,
,,,アマゾネスの剣士,
,,,アマゾネスの弩弓隊,
,,,命の綱,
,,,魔法効果の矢,
,,,アマゾネスの鎖使い,
,,,万力魔神バイサー・デス,
,,,アマゾネスの格闘戦士,
,,,アマゾネスの呪詛師,
,,,拷問車輪,
,,,救出劇,
,,,バイサー・ショック,
,,,冥界の魔王 ハ・デス,
,,,魔人 ダーク・バルター,
,,,レッサー・デーモン,
,,,憑依するブラッド・ソウル,
,,,ハ・デスの使い魔,
,,,スカル・ナイト,
,,,ガーゴイルの道化師,
,,,ツインヘッド・ケルベロス,
,,,レッド・サイクロプス,
,,,冥王の咆哮,
,,,死の演算盤,
,,,生命吸収装置,
,,,冥界流傀儡術,
,,,魂粉砕,
,,,ダブルトラップ,
,,,無敗将軍 フリード,
,,,投石部隊,
,,,切り込み隊長,
,,,ドラゴン・ウォリアー,
,,,戦士ダイ・グレファー,
,,,聖なる守り手,
,,,辺境の大賢者,
,,,ならず者傭兵部隊,
,,,７つの武器を持つハンター,
,,,デーモン・テイマー,
,,,ドラゴン・ライダー,
,,,連合軍,
,,,光の護封陣,
,,,戦士の生還,
,,,迎撃準備,
,,,陽動作戦,
,,,タイラント・ドラゴン,
,,,スピア・ドラゴン,
,,,スピリット・ドラゴン,
,,,洞窟に潜む竜,
,,,リザード兵,
,,,デス・デーモン・ドラゴン,
,,,グランド・ドラゴン,
,,,グレイ・ウイング,
,,,軍隊竜,
,,,ドラゴンの宝珠,
,,,巨竜の羽ばたき,
,,,火竜の火炎弾,
,,,スタンピング・クラッシュ,
,,,超再生能力,
,,,竜の逆鱗,
,,,バーストブレス,
,,,エメラルド・ドラゴン,
,,,非常食,
,,,ケルドウ,
,,,墓穴の道連れ,
,,,カイザー・グライダー,
,,,魔法再生,
,,,収縮,
,,,ムドラ,
,,,ダグラの剣,
,,,魔法除去細菌兵器,
,,,デスグレムリン,
,,,ケルベク,
,,,無効,
,,,ゾルガ,
,,,生贄の抱く爆弾,
,,,アギド,
,,,黙する死者,
,,,オプション,
,,,磨破羅魏,
,,,因幡之白兎,
,,,雷帝神,
,,,八俣大蛇,
,,,偉大天狗,
,,,竜宮之姫,
,,,火之迦具土,
,,,阿修羅,
,,,不死之炎鳥,
,,,レアメタル・ヴァルキリー,
,,,レアメタル・ナイト,
,,,封神鏡,
,,,明鏡止水の心,
,,,伝説の都 アトランティス,
,,,融合武器ムラサメブレード,
,,,盗人の煙玉,
,,,霊子エネルギー固定装置,
,,,セカンド・チャンス,
,,,天変地異,
,,,盗賊の極意,
,,,ジェノサイド・ウォー,
,,,マジック・ガードナー,
,,,鎖付き爆弾,
,,,ロスト,
,,,バブル・クラッシュ,
,,,王宮の弾圧,
,,,奈落の落とし穴,
,,,不吉な占い,
,,,スピリットの誘い,
,,,体力増強剤スーパーZ,
,,,はたき落とし,
,,,デビル・コメディアン,
,,,デス・ヴォルストガルフ,
,,,カイザー・シーホース,
,,,ヴァンパイア・ロード,
,,,ゴラ・タートル,
,,,一刀両断侍,
,,,ポイズンマミー,
,,,砂塵の悪霊,
,,,王族親衛隊,
,,,さまようミイラ,
,,,大神官デ・ザード,
,,,スカラベの大群,
,,,イナゴの軍勢,
,,,ジャイアントマミー,
,,,八つ手サソリ,
,,,守護者スフィンクス,
,,,ピラミッド・タートル,
,,,ダイス・ポット,
,,,黒蠍盗掘団,
,,,首領・ザルーグ,
,,,デス・ラクーダ,
,,,不死王リッチー,
,,,半蛇人サクズィー,
,,,生者の書－禁断の呪術－,
,,,太陽の書,
,,,財宝への隠し通路,
,,,ミイラの呼び声,
,,,おくびょうかぜ,
,,,ピラミッドパワー,
,,,ツタン仮面,
,,,旅人の試練,
,,,底なし流砂,
,,,王家の呪い,
,,,つり天井,
,,,黄金の邪神像,
,,,呪われた棺,
,,,ニードル・ウォール,
,,,運命の火時計,
,,,無謀な欲張り,
,,,王家の財宝,
,,,トゥーン・ブラック・マジシャン・ガール,
,,,ギルフォード・ザ・ライトニング,
,,,イグザリオン・ユニバース,
,,,レジェンド・デビル,
,,,トゥーン・ディフェンス,
,,,トゥーンのもくじ,
,,,トゥーン・仮面魔道士,
,,,トゥーン・ヂェミナイ・エルフ,
,,,トゥーン・キャノン・ソルジャー,
,,,トゥーン・ゴブリン突撃部隊,
,,,天よりの宝札,
,,,闇の指名者,
,,,死霊操りしパペットマスター,
,,,ゲルニア,
,,,ニュードリュア,
,,,ロードポイズン,
,,,痛魂の呪術,
,,,ブレイドナイト,
,,,地獄詩人ヘルポエマー,
,,,隠れ兵,
,,,ギル・ガース,
,,,棺桶売り,
,,,邪神の大災害,
,,,クイズ,
,,,溶岩魔神ラヴァ・ゴーレム,
,,,モンスターレリーフ,
,,,機械複製術,
,,,ダークジェロイド,
,,,究極竜騎士,
,,,F・G・D,
,,,クィーンズ・ナイト,
,,,X－ヘッド・キャノン,
,,,エネミーコントローラー,
,,,達人キョンシー,
,,,大くしゃみのカバザウルス,
,,,大木人１８,
,,,墓守の偵察者,
,,,墓守の呪術師,
,,,墓守の番兵,
,,,墓守の長槍兵,
,,,墓守の従者,
,,,墓守の監視者,
,,,墓守の長,
,,,墓守の大筒持ち,
,,,墓守の暗殺者,
,,,ウジャト眼を持つ男,
,,,ジャッカルの聖戦士,
,,,不幸を告げる黒猫,
,,,黄泉へ渡る船,
,,,有翼賢者ファルコス,
,,,幸運を告げるフクロウ,
,,,シャブティのお守り,
,,,スネークポット,
,,,ナイトメア・ホース,
,,,ナイトメアを駆る死霊,
,,,ショット・ガン・シャッフル,
,,,名推理,
,,,悪夢の拷問部屋,
,,,タイムカプセル,
,,,王家の眠る谷－ネクロバレー,
,,,バスターランチャー,
,,,ヒエログリフの石版,
,,,黒蛇病,
,,,テラ・フォーミング,
,,,勇気の旗印,
,,,王家の生け贄,
,,,大逆転クイズ,
,,,老化の呪い,
,,,地獄の扉越し銃,
,,,サンダー・ブレイク,
,,,狭き通路,
,,,攪乱作戦,
,,,黒板消しの罠,
,,,降霊の儀式,
,,,絶対不可侵領域,
,,,竜の血族,
,,,Y－ドラゴン・ヘッド,
,,,XY－ドラゴン・キャノン,
,,,Z－メタル・キャタピラー,
,,,XYZ－ドラゴン・キャノン,
,,,魂の綱,
,,,キングス・ナイト,
,,,ジャックス・ナイト,
,,,亜空間物質転送装置,
,,,ゴブリンゾンビ,
,,,ドリラゴ,
,,,レクンガ,
,,,クローン複製,
,,,コストダウン,
,,,逃げまどう民,
,,,弾圧される民,
,,,団結するレジスタンス,
,,,闇魔界の戦士 ダークソード,
,,,漆黒の闘龍,
,,,騎竜,
,,,朽ち果てた武将,
,,,ゾンビタイガー,
,,,ジャイアント・オーク,
,,,セコンド・ゴブリン,
,,,ブラッド・オーキス,
,,,デス・デンドル,
,,,灼岩魔獣,
,,,氷岩魔獣,
,,,ユニオン・ライダー,
,,,異次元の狂獣,
,,,マジック・キャンセラー,
,,,ネコマネキング,
,,,白兵戦型お手伝いロボ,
,,,ディメンション・ポッド,
,,,世紀の大泥棒,
,,,ルーレットボマー,
,,,白竜の聖騎士,
,,,白竜降臨,
,,,前線基地,
,,,降格処分,
,,,コンビネーション・アタック,
,,,カイザーコロシアム,
,,,自律行動ユニット,
,,,ご隠居の猛毒薬,
,,,アンティ勝負,
,,,ブラック・コア,
,,,レアゴールド・アーマー,
,,,メタルシルバー・アーマー,
,,,騎士道精神,
,,,生け贄人形,
,,,波動キャノン,
,,,大革命,
,,,覇者の一括,
,,,八式対魔法多重結界,
,,,メテオ・レイン,
,,,パイナップル爆弾,
,,,仕込みマシンガン,
,,,物理分身,
,,,群雄割拠,
,,,フォーメーション・ユニオン,
,,,粘着落とし穴,
,,,XZ－キャタピラー・キャノン,
,,,YZ－キャタピラー・ドラゴン,
,,,最終突撃命令,
,,,超魔導剣士－ブラック・パラディン,
,,,二重魔法,
,,,魔法吸収,
,,,拡散する波動,
,,,デビルズ・サンクチュアリ,
,,,グレート・アンガス,
,,,アイツ,
,,,音速ダック,
,,,サファイアドラゴン,
,,,アマゾネスの聖戦士,
,,,アマゾネスの吹き矢兵,
,,,アマゾネスペット虎,
,,,熟練の白魔導師,
,,,熟練の黒魔術師,
,,,見習い魔術師,
,,,執念深き老魔術師,
,,,カオス・マジシャン,
,,,魔法の操り人形,
,,,ピクシーナイト,
,,,魔草 マンドラゴラ,
,,,王立魔法図書館,
,,,魔導アーマー エグゼ,
,,,デス・コアラ,
,,,黒蠍－罠はずしのクリフ,
,,,魔導雑貨商人,
,,,コイツ,
,,,ネコ耳族,
,,,絶対服従魔人,
,,,尾も白い黒猫,
,,,漆黒のパワーストーン,
,,,ビッグバン・シュート,
,,,精神統一,
,,,マスドライバー,
,,,千里眼,
,,,竜破壊の証,
,,,壺盗み,
,,,我が身を盾に,
,,,魔導書整理,
,,,メガトン魔導キャノン,
,,,カウンターマシンガンパンチ,
,,,魔力枯渇,
,,,隠された魔導書,
,,,奇跡の復活,
,,,洗脳解除,
,,,武装解除,
,,,対抗魔術,
,,,生命力吸収魔術,
,,,メタル・リフレクト・スライム,
,,,ボーガニアン,
,,,グラナドラ,
,,,異次元竜 トワイライトゾーンドラゴン,
,,,天界王 シナト,
,,,黒炎の騎士－ブラック・フレア・ナイト－,
,,,幻影の騎士－ミラージュ・ナイト－,
,,,バーサーク・デッド・ドラゴン,
,,,エクゾディア・ネクロス,
,,,バトルフットボーラー,
,,,ウェポンサモナー,
,,,忍犬ワンダードッグ,
,,,アクロバットモンキー,
,,,ガーディアン・エルマ,
,,,ガーディアン・シール,
,,,ガーディアン・グラール,
,,,ガーディアン・バオウ,
,,,ガーディアン・ケースト,
,,,ガーディアン・トライス,
,,,逆ギレパンダ,
,,,盲信するゴブリン,
,,,闇より出でし絶望,
,,,合成魔獣 ガーゼット,
,,,闇よりの恐怖,
,,,黒蠍－逃げ足のチック,
,,,針千本,
,,,奇跡の方舟,
,,,デーモンとの駆け引き,
,,,エクゾディアとの契約,
,,,流星の弓－シール,
,,,重力の斧－グラール,
,,,破邪の大剣－バオウ,
,,,静寂のロッド－ケースト,
,,,閃光の双剣－トライス,
,,,冥界の宝札,
,,,心眼の鉾,
,,,泉の精霊,
,,,トークン収穫祭,
,,,士気高揚,
,,,絶対魔法禁止区域,
,,,異次元隔離マシーン,
,,,立ちはだかる強敵,
,,,武器庫荒らし,
,,,スキルドレイン,
,,,大成仏,
,,,ソウルテイカー,
,,,ディメンション・マジック,
,,,ファラオの審判,
,,,友情 YU－JYO,
,,,結束 UNITY,
,,,ブラック・マジシャンズ・ナイト,
,,,騎士の称号,
,,,賢者の宝石,
,,,ガガギゴ,
,,,異次元トレーナー,
,,,おジャマ・グリーン,
,,,デーモン・ソルジャー,
,,,地獄の番熊,
,,,言語道断侍,
,,,黒蠍－強力のゴーグ,
,,,黒蠍－棘のミーネ,
,,,迷犬マロン,
,,,偉大魔獣 ガーゼット,
,,,名工 虎鉄,
,,,強欲ゴブリン,
,,,地獄将軍・メフィスト,
,,,ヘルポーンデーモン,
,,,シャドウナイトデーモン,
,,,ダークビショップデーモン,
,,,デスルークデーモン,
,,,インフェルノクインデーモン,
,,,ジェノサイドキングデーモン,
,,,迅雷の魔王－スカル・デーモン,
,,,メタル化寄生生物－ルナタイト,
,,,伝説の爆炎使い,
,,,闇の支配者－ゾーク,
,,,灼熱の試練,
,,,奈落との契約,
,,,闇の支配者との契約,
,,,堕落,
,,,ディスカバード・アタック,
,,,終焉のカウントダウン,
,,,デーモンの宣告,
,,,黒蠍団召集,
,,,万魔殿－悪魔の巣窟－,
,,,生贄の祭壇,
,,,魂の氷結,
,,,血の刻印,
,,,必殺！黒蠍コンビネーション,
,,,デーモンの雄叫び,
,,,リバースダイス,
,,,呪術抹消,
,,,炸裂装甲,
,,,希望の光,
,,,ペンギン・ナイトメア,
,,,パーフェクト機械王,
,,,賢者ケイローン,
